centre_id,centre_name,date,price
137,Rampurhat,2017-06-19,21
137,Rampurhat,2017-06-20,21
137,Rampurhat,2017-06-21,21
137,Rampurhat,2017-06-22,21
137,Rampurhat,2017-06-23,21
137,Rampurhat,2017-06-24,21
137,Rampurhat,2017-06-25,21
137,Rampurhat,2017-06-26,21
137,Rampurhat,2017-06-27,21
137,Rampurhat,2017-06-28,21
137,Rampurhat,2017-06-29,21
137,Rampurhat,2017-06-30,21
137,Rampurhat,2017-07-01,21
137,Rampurhat,2017-07-02,21
137,Rampurhat,2017-07-03,21
137,Rampurhat,2017-07-04,21
137,Rampurhat,2017-07-05,21
137,Rampurhat,2017-07-06,21
137,Rampurhat,2017-07-07,21
137,Rampurhat,2017-07-08,21
137,Rampurhat,2017-07-09,21
137,Rampurhat,2017-07-10,21
137,Rampurhat,2017-07-11,21
137,Rampurhat,2017-07-12,21
137,Rampurhat,2017-07-13,21
137,Rampurhat,2017-07-14,21
137,Rampurhat,2017-07-15,21
137,Rampurhat,2017-07-16,21
137,Rampurhat,2017-07-17,21
137,Rampurhat,2017-07-18,22
137,Rampurhat,2017-07-19,22
137,Rampurhat,2017-07-20,22
137,Rampurhat,2017-07-21,22
137,Rampurhat,2017-07-22,22
137,Rampurhat,2017-07-23,22
137,Rampurhat,2017-07-24,22
137,Rampurhat,2017-07-25,22
137,Rampurhat,2017-07-26,22
137,Rampurhat,2017-07-27,22
137,Rampurhat,2017-07-28,22
137,Rampurhat,2017-07-29,22
137,Rampurhat,2017-07-30,22
137,Rampurhat,2017-07-31,22
137,Rampurhat,2017-08-01,22
137,Rampurhat,2017-08-02,22
137,Rampurhat,2017-08-03,22
137,Rampurhat,2017-08-04,22
137,Rampurhat,2017-08-05,22
137,Rampurhat,2017-08-06,22
137,Rampurhat,2017-08-07,22
137,Rampurhat,2017-08-08,22
137,Rampurhat,2017-08-09,22
137,Rampurhat,2017-08-10,22
137,Rampurhat,2017-08-11,22
137,Rampurhat,2017-08-12,22
137,Rampurhat,2017-08-14,22
137,Rampurhat,2017-08-15,22
137,Rampurhat,2017-08-16,22
137,Rampurhat,2017-08-17,22
137,Rampurhat,2017-08-18,22
137,Rampurhat,2017-08-19,22
137,Rampurhat,2017-08-20,22
137,Rampurhat,2017-08-21,22
137,Rampurhat,2017-08-22,22
137,Rampurhat,2017-08-23,22
137,Rampurhat,2017-08-24,22
137,Rampurhat,2017-08-25,22
137,Rampurhat,2017-08-26,22
137,Rampurhat,2017-08-27,22
137,Rampurhat,2017-08-28,22
137,Rampurhat,2017-08-29,22
137,Rampurhat,2017-08-30,22
137,Rampurhat,2017-08-31,22
137,Rampurhat,2017-09-01,22
137,Rampurhat,2017-09-02,22
137,Rampurhat,2017-09-03,22
137,Rampurhat,2017-09-04,22
137,Rampurhat,2017-09-05,22
137,Rampurhat,2017-09-06,22
137,Rampurhat,2017-09-07,22
137,Rampurhat,2017-09-08,22
137,Rampurhat,2017-09-09,22
137,Rampurhat,2017-09-10,22
137,Rampurhat,2017-09-11,22
137,Rampurhat,2017-09-12,22
137,Rampurhat,2017-09-13,22
137,Rampurhat,2017-09-14,22
137,Rampurhat,2017-09-15,22
137,Rampurhat,2017-09-16,22
137,Rampurhat,2017-09-17,22
137,Rampurhat,2017-09-18,22
137,Rampurhat,2017-09-19,22
137,Rampurhat,2017-09-20,22
137,Rampurhat,2017-09-21,22
137,Rampurhat,2017-09-22,22
137,Rampurhat,2017-09-23,22
137,Rampurhat,2017-09-24,22
137,Rampurhat,2017-09-25,22
137,Rampurhat,2017-09-26,22
137,Rampurhat,2017-09-27,22
137,Rampurhat,2017-09-28,22
137,Rampurhat,2017-09-29,22
137,Rampurhat,2017-09-30,22
137,Rampurhat,2017-10-01,22
137,Rampurhat,2017-10-02,22
137,Rampurhat,2017-10-04,22
137,Rampurhat,2017-10-05,22
137,Rampurhat,2017-10-06,22
137,Rampurhat,2017-10-09,22
137,Rampurhat,2017-10-10,22
137,Rampurhat,2017-10-11,22
137,Rampurhat,2017-10-12,22
137,Rampurhat,2017-10-13,22
137,Rampurhat,2017-10-14,22
137,Rampurhat,2017-10-15,22
137,Rampurhat,2017-10-16,22
137,Rampurhat,2017-10-17,22
137,Rampurhat,2017-10-18,22
137,Rampurhat,2017-10-19,22
137,Rampurhat,2017-10-20,22
137,Rampurhat,2017-10-21,22
137,Rampurhat,2017-10-22,22
137,Rampurhat,2017-10-23,22
137,Rampurhat,2017-10-24,22
137,Rampurhat,2017-10-25,22
137,Rampurhat,2017-10-26,22
137,Rampurhat,2017-10-27,22
137,Rampurhat,2017-10-28,22
137,Rampurhat,2017-10-29,22
137,Rampurhat,2017-10-30,22
137,Rampurhat,2017-10-31,22
137,Rampurhat,2017-11-01,22
137,Rampurhat,2017-11-02,22
137,Rampurhat,2017-11-03,22
137,Rampurhat,2017-11-04,22
137,Rampurhat,2017-11-05,22
137,Rampurhat,2017-11-06,22
137,Rampurhat,2017-11-07,22
137,Rampurhat,2017-11-08,22
137,Rampurhat,2017-11-09,22
137,Rampurhat,2017-11-10,22
137,Rampurhat,2017-11-11,22
137,Rampurhat,2017-11-12,22
137,Rampurhat,2017-11-13,22
137,Rampurhat,2017-11-14,22
137,Rampurhat,2017-11-15,22
137,Rampurhat,2017-11-16,22
137,Rampurhat,2017-11-17,22
137,Rampurhat,2017-11-18,22
137,Rampurhat,2017-11-19,22
137,Rampurhat,2017-11-21,22
137,Rampurhat,2017-11-22,22
137,Rampurhat,2017-11-23,22
137,Rampurhat,2017-11-24,22
137,Rampurhat,2017-11-25,22
137,Rampurhat,2017-11-26,22
137,Rampurhat,2017-11-27,22
137,Rampurhat,2017-11-28,22
137,Rampurhat,2017-11-29,22
137,Rampurhat,2017-11-30,22
137,Rampurhat,2017-12-01,22
137,Rampurhat,2017-12-02,22
137,Rampurhat,2017-12-03,22
137,Rampurhat,2017-12-04,22
137,Rampurhat,2017-12-05,22
137,Rampurhat,2017-12-06,22
137,Rampurhat,2017-12-07,22
137,Rampurhat,2017-12-08,22
137,Rampurhat,2017-12-09,22
137,Rampurhat,2017-12-10,22
137,Rampurhat,2017-12-11,22
137,Rampurhat,2017-12-12,22
137,Rampurhat,2017-12-13,22
137,Rampurhat,2017-12-14,22
137,Rampurhat,2017-12-15,22
137,Rampurhat,2017-12-16,22
137,Rampurhat,2017-12-17,22
137,Rampurhat,2017-12-18,22
137,Rampurhat,2017-12-19,22
137,Rampurhat,2017-12-20,22
137,Rampurhat,2017-12-21,22
137,Rampurhat,2017-12-22,22
137,Rampurhat,2017-12-23,22
137,Rampurhat,2017-12-24,22
137,Rampurhat,2017-12-25,22
137,Rampurhat,2017-12-26,22
137,Rampurhat,2017-12-27,22
137,Rampurhat,2017-12-28,22
137,Rampurhat,2017-12-29,22
137,Rampurhat,2017-12-30,22
137,Rampurhat,2017-12-31,22
137,Rampurhat,2018-01-01,22
137,Rampurhat,2018-01-02,22
137,Rampurhat,2018-01-03,22
137,Rampurhat,2018-01-04,22
137,Rampurhat,2018-01-05,22
137,Rampurhat,2018-01-06,22
137,Rampurhat,2018-01-07,22
137,Rampurhat,2018-01-08,22
137,Rampurhat,2018-01-09,22
137,Rampurhat,2018-01-10,22
137,Rampurhat,2018-01-11,22
137,Rampurhat,2018-01-12,22
137,Rampurhat,2018-01-13,22
137,Rampurhat,2018-01-14,22
137,Rampurhat,2018-01-15,22
137,Rampurhat,2018-01-16,22
137,Rampurhat,2018-01-17,22
137,Rampurhat,2018-01-18,22
137,Rampurhat,2018-01-19,22
137,Rampurhat,2018-01-20,22
137,Rampurhat,2018-01-21,22
137,Rampurhat,2018-01-22,22
137,Rampurhat,2018-01-23,22
137,Rampurhat,2018-01-24,22
137,Rampurhat,2018-01-25,22
137,Rampurhat,2018-01-26,22
137,Rampurhat,2018-01-27,22
137,Rampurhat,2018-01-28,22
137,Rampurhat,2018-01-29,22
137,Rampurhat,2018-01-30,22
137,Rampurhat,2018-01-31,22
137,Rampurhat,2018-02-01,22
137,Rampurhat,2018-02-02,22
137,Rampurhat,2018-02-03,22
137,Rampurhat,2018-02-04,22
137,Rampurhat,2018-02-05,22
137,Rampurhat,2018-02-06,22
137,Rampurhat,2018-02-07,22
137,Rampurhat,2018-02-08,22
137,Rampurhat,2018-02-09,22
137,Rampurhat,2018-02-10,22
137,Rampurhat,2018-02-11,22
137,Rampurhat,2018-02-12,22
137,Rampurhat,2018-02-13,22
137,Rampurhat,2018-02-14,22
137,Rampurhat,2018-02-15,22
137,Rampurhat,2018-02-16,22
137,Rampurhat,2018-02-17,22
137,Rampurhat,2018-02-18,22
137,Rampurhat,2018-02-19,22
137,Rampurhat,2018-02-20,22
137,Rampurhat,2018-02-21,22
137,Rampurhat,2018-02-22,22
137,Rampurhat,2018-02-23,22
137,Rampurhat,2018-02-24,22
137,Rampurhat,2018-02-25,22
137,Rampurhat,2018-02-26,22
137,Rampurhat,2018-02-27,22
137,Rampurhat,2018-02-28,22
137,Rampurhat,2018-03-01,22
137,Rampurhat,2018-03-02,22
137,Rampurhat,2018-03-03,22
137,Rampurhat,2018-03-04,22
137,Rampurhat,2018-03-05,22
137,Rampurhat,2018-03-06,22
137,Rampurhat,2018-03-07,22
137,Rampurhat,2018-03-08,22
137,Rampurhat,2018-03-09,22
137,Rampurhat,2018-03-10,22
137,Rampurhat,2018-03-11,22
137,Rampurhat,2018-03-12,22
137,Rampurhat,2018-03-13,22
137,Rampurhat,2018-03-14,22
137,Rampurhat,2018-03-15,22
137,Rampurhat,2018-03-16,22
137,Rampurhat,2018-03-17,22
137,Rampurhat,2018-03-18,22
137,Rampurhat,2018-03-19,22
137,Rampurhat,2018-03-20,22
137,Rampurhat,2018-03-21,22
137,Rampurhat,2018-03-22,22
137,Rampurhat,2018-03-23,22
137,Rampurhat,2018-03-24,22
137,Rampurhat,2018-03-25,22
137,Rampurhat,2018-03-26,22
137,Rampurhat,2018-03-27,22
137,Rampurhat,2018-03-28,22
137,Rampurhat,2018-03-29,22
137,Rampurhat,2018-03-30,22
137,Rampurhat,2018-03-31,22
137,Rampurhat,2018-04-01,22
137,Rampurhat,2018-04-02,22
137,Rampurhat,2018-04-03,22
137,Rampurhat,2018-04-04,22
137,Rampurhat,2018-04-05,22
137,Rampurhat,2018-04-06,22
137,Rampurhat,2018-04-07,22
137,Rampurhat,2018-04-08,22
137,Rampurhat,2018-04-09,22
137,Rampurhat,2018-04-10,22
137,Rampurhat,2018-04-11,22
137,Rampurhat,2018-04-12,22
137,Rampurhat,2018-04-13,22
137,Rampurhat,2018-04-14,22
137,Rampurhat,2018-04-15,22
137,Rampurhat,2018-04-16,22
137,Rampurhat,2018-04-17,22
137,Rampurhat,2018-04-18,22
137,Rampurhat,2018-04-19,22
137,Rampurhat,2018-04-20,22
137,Rampurhat,2018-04-21,22
137,Rampurhat,2018-04-22,22
137,Rampurhat,2018-04-23,22
137,Rampurhat,2018-04-24,22
137,Rampurhat,2018-04-25,22
137,Rampurhat,2018-04-26,22
137,Rampurhat,2018-04-27,22
137,Rampurhat,2018-04-28,22
137,Rampurhat,2018-04-29,22
137,Rampurhat,2018-04-30,22
137,Rampurhat,2018-05-01,22
137,Rampurhat,2018-05-02,22
137,Rampurhat,2018-05-03,22
137,Rampurhat,2018-05-04,22
137,Rampurhat,2018-05-05,22
137,Rampurhat,2018-05-06,22
137,Rampurhat,2018-05-07,22
137,Rampurhat,2018-05-08,22
137,Rampurhat,2018-05-09,22
137,Rampurhat,2018-05-10,22
137,Rampurhat,2018-05-11,22
137,Rampurhat,2018-05-12,22
137,Rampurhat,2018-05-13,22
137,Rampurhat,2018-05-14,22
137,Rampurhat,2018-05-15,22
137,Rampurhat,2018-05-16,22
137,Rampurhat,2018-05-17,22
137,Rampurhat,2018-05-18,22
137,Rampurhat,2018-05-19,22
137,Rampurhat,2018-05-20,22
137,Rampurhat,2018-05-21,22
137,Rampurhat,2018-05-22,22
137,Rampurhat,2018-05-23,22
137,Rampurhat,2018-05-24,22
137,Rampurhat,2018-05-25,22
137,Rampurhat,2018-05-26,22
137,Rampurhat,2018-05-27,22
137,Rampurhat,2018-05-28,22
137,Rampurhat,2018-05-29,22
137,Rampurhat,2018-05-30,22
137,Rampurhat,2018-05-31,22
137,Rampurhat,2018-06-01,22
137,Rampurhat,2018-06-02,22
137,Rampurhat,2018-06-03,22
137,Rampurhat,2018-06-04,22
137,Rampurhat,2018-06-05,22
137,Rampurhat,2018-06-06,22
137,Rampurhat,2018-06-07,22
137,Rampurhat,2018-06-08,22
137,Rampurhat,2018-06-09,22
137,Rampurhat,2018-06-10,22
137,Rampurhat,2018-06-11,22
137,Rampurhat,2018-06-12,22
137,Rampurhat,2018-06-13,22
137,Rampurhat,2018-06-14,22
137,Rampurhat,2018-06-15,22
137,Rampurhat,2018-06-16,22
137,Rampurhat,2018-06-17,22
137,Rampurhat,2018-06-18,22
137,Rampurhat,2018-06-19,22
137,Rampurhat,2018-06-20,22
137,Rampurhat,2018-06-21,22
137,Rampurhat,2018-06-22,22
137,Rampurhat,2018-06-23,22
137,Rampurhat,2018-06-24,22
137,Rampurhat,2018-06-25,22
137,Rampurhat,2018-06-26,22
137,Rampurhat,2018-06-27,22
137,Rampurhat,2018-06-28,22
137,Rampurhat,2018-06-29,22
137,Rampurhat,2018-06-30,22
137,Rampurhat,2018-07-01,22
137,Rampurhat,2018-07-02,22
137,Rampurhat,2018-07-03,22
137,Rampurhat,2018-07-04,22
137,Rampurhat,2018-07-05,22
137,Rampurhat,2018-07-06,22
137,Rampurhat,2018-07-07,22
137,Rampurhat,2018-07-08,22
137,Rampurhat,2018-07-09,22
137,Rampurhat,2018-07-10,22
137,Rampurhat,2018-07-11,22
137,Rampurhat,2018-07-12,22
137,Rampurhat,2018-07-13,22
137,Rampurhat,2018-07-15,22
137,Rampurhat,2018-07-16,22
137,Rampurhat,2018-07-17,22
137,Rampurhat,2018-07-18,22
137,Rampurhat,2018-07-19,22
137,Rampurhat,2018-07-20,22
137,Rampurhat,2018-07-21,22
137,Rampurhat,2018-07-22,22
137,Rampurhat,2018-07-23,22
137,Rampurhat,2018-07-24,22
137,Rampurhat,2018-07-25,22
137,Rampurhat,2018-07-26,22
137,Rampurhat,2018-07-27,22
137,Rampurhat,2018-07-28,22
137,Rampurhat,2018-07-29,22
137,Rampurhat,2018-07-30,22
137,Rampurhat,2018-07-31,22
137,Rampurhat,2018-08-01,22
137,Rampurhat,2018-08-02,22
137,Rampurhat,2018-08-03,22
137,Rampurhat,2018-08-04,22
137,Rampurhat,2018-08-05,22
137,Rampurhat,2018-08-06,22
137,Rampurhat,2018-08-07,22
137,Rampurhat,2018-08-08,22
137,Rampurhat,2018-08-09,22
137,Rampurhat,2018-08-10,22
137,Rampurhat,2018-08-11,22
137,Rampurhat,2018-08-12,22
137,Rampurhat,2018-08-13,22
137,Rampurhat,2018-08-14,22
137,Rampurhat,2018-08-15,22
137,Rampurhat,2018-08-16,22
137,Rampurhat,2018-08-17,22
137,Rampurhat,2018-08-19,22
137,Rampurhat,2018-08-20,22
137,Rampurhat,2018-08-21,22
137,Rampurhat,2018-08-22,22
137,Rampurhat,2018-08-23,22
137,Rampurhat,2018-08-24,22
137,Rampurhat,2018-08-25,22
137,Rampurhat,2018-08-26,22
137,Rampurhat,2018-08-27,22
137,Rampurhat,2018-08-28,22
137,Rampurhat,2018-08-29,22
137,Rampurhat,2018-08-30,22
137,Rampurhat,2018-08-31,22
137,Rampurhat,2018-09-01,22
137,Rampurhat,2018-09-02,22
137,Rampurhat,2018-09-03,22
137,Rampurhat,2018-09-04,22
137,Rampurhat,2018-09-05,22
137,Rampurhat,2018-09-06,22
137,Rampurhat,2018-09-07,22
137,Rampurhat,2018-09-08,22
137,Rampurhat,2018-09-09,22
137,Rampurhat,2018-09-10,22
137,Rampurhat,2018-09-11,22
137,Rampurhat,2018-09-12,22
137,Rampurhat,2018-09-13,22
137,Rampurhat,2018-09-14,22
137,Rampurhat,2018-09-15,22
137,Rampurhat,2018-09-16,22
137,Rampurhat,2018-09-17,22
137,Rampurhat,2018-09-18,22
137,Rampurhat,2018-09-19,22
137,Rampurhat,2018-09-20,22
137,Rampurhat,2018-09-21,22
137,Rampurhat,2018-09-22,22
137,Rampurhat,2018-09-23,22
137,Rampurhat,2018-09-24,22
137,Rampurhat,2018-09-25,22
137,Rampurhat,2018-09-26,22
137,Rampurhat,2018-09-27,22
137,Rampurhat,2018-09-28,22
137,Rampurhat,2018-09-29,22
137,Rampurhat,2018-09-30,22
137,Rampurhat,2018-10-01,22
137,Rampurhat,2018-10-02,22
137,Rampurhat,2018-10-03,22
137,Rampurhat,2018-10-04,22
137,Rampurhat,2018-10-05,22
137,Rampurhat,2018-10-06,22
137,Rampurhat,2018-10-07,22
137,Rampurhat,2018-10-08,22
137,Rampurhat,2018-10-09,22
137,Rampurhat,2018-10-10,22
137,Rampurhat,2018-10-11,22
137,Rampurhat,2018-10-12,22
137,Rampurhat,2018-10-13,22
137,Rampurhat,2018-10-14,22
137,Rampurhat,2018-10-15,22
137,Rampurhat,2018-10-16,22
137,Rampurhat,2018-10-17,22
137,Rampurhat,2018-10-19,22
137,Rampurhat,2018-10-20,22
137,Rampurhat,2018-10-21,22
137,Rampurhat,2018-10-22,22
137,Rampurhat,2018-10-23,22
137,Rampurhat,2018-10-24,22
137,Rampurhat,2018-10-25,22
137,Rampurhat,2018-10-26,22
137,Rampurhat,2018-10-27,22
137,Rampurhat,2018-10-28,22
137,Rampurhat,2018-10-29,22
137,Rampurhat,2018-10-30,22
137,Rampurhat,2018-10-31,22
137,Rampurhat,2018-11-01,22
137,Rampurhat,2018-11-02,22
137,Rampurhat,2018-11-03,22
137,Rampurhat,2018-11-04,22
137,Rampurhat,2018-11-05,22
137,Rampurhat,2018-11-06,22
137,Rampurhat,2018-11-07,22
137,Rampurhat,2018-11-08,22
137,Rampurhat,2018-11-09,22
137,Rampurhat,2018-11-10,22
137,Rampurhat,2018-11-11,22
137,Rampurhat,2018-11-12,22
137,Rampurhat,2018-11-13,22
137,Rampurhat,2018-11-14,22
137,Rampurhat,2018-11-15,22
137,Rampurhat,2018-11-16,22
137,Rampurhat,2018-11-17,22
137,Rampurhat,2018-11-18,22
137,Rampurhat,2018-11-19,22
137,Rampurhat,2018-11-20,22
137,Rampurhat,2018-11-21,22
137,Rampurhat,2018-11-22,22
137,Rampurhat,2018-11-23,22
137,Rampurhat,2018-11-24,22
137,Rampurhat,2018-11-25,22
137,Rampurhat,2018-11-26,22
137,Rampurhat,2018-11-27,22
137,Rampurhat,2018-11-28,22
137,Rampurhat,2018-11-29,22
137,Rampurhat,2018-11-30,22
137,Rampurhat,2018-12-01,22
137,Rampurhat,2018-12-02,22
137,Rampurhat,2018-12-03,22
137,Rampurhat,2018-12-04,22
137,Rampurhat,2018-12-05,22
137,Rampurhat,2018-12-06,22
137,Rampurhat,2018-12-07,22
137,Rampurhat,2018-12-08,22
137,Rampurhat,2018-12-09,22
137,Rampurhat,2018-12-10,22
137,Rampurhat,2018-12-11,22
137,Rampurhat,2018-12-12,22
137,Rampurhat,2018-12-13,22
137,Rampurhat,2018-12-14,22
137,Rampurhat,2018-12-15,22
137,Rampurhat,2018-12-16,22
137,Rampurhat,2018-12-17,22
137,Rampurhat,2018-12-18,22
137,Rampurhat,2018-12-19,22
137,Rampurhat,2018-12-20,22
137,Rampurhat,2018-12-21,22
137,Rampurhat,2018-12-22,22
137,Rampurhat,2018-12-23,22
137,Rampurhat,2018-12-24,22
137,Rampurhat,2018-12-25,22
137,Rampurhat,2018-12-26,22
137,Rampurhat,2018-12-27,22
137,Rampurhat,2018-12-28,22
137,Rampurhat,2018-12-29,22
137,Rampurhat,2018-12-30,22
137,Rampurhat,2018-12-31,22
137,Rampurhat,2019-01-01,22
137,Rampurhat,2019-01-02,22
137,Rampurhat,2019-01-03,22
137,Rampurhat,2019-01-04,22
137,Rampurhat,2019-01-05,22
137,Rampurhat,2019-01-06,22
137,Rampurhat,2019-01-07,22
137,Rampurhat,2019-01-08,22
137,Rampurhat,2019-01-09,22
137,Rampurhat,2019-01-10,22
137,Rampurhat,2019-01-11,22
137,Rampurhat,2019-01-12,22
137,Rampurhat,2019-01-13,22
137,Rampurhat,2019-01-14,22
137,Rampurhat,2019-01-15,22
137,Rampurhat,2019-01-16,22
137,Rampurhat,2019-01-17,22
137,Rampurhat,2019-01-18,22
137,Rampurhat,2019-01-19,22
137,Rampurhat,2019-01-20,22
137,Rampurhat,2019-01-21,22
137,Rampurhat,2019-01-22,22
137,Rampurhat,2019-01-23,22
137,Rampurhat,2019-01-24,22
137,Rampurhat,2019-01-25,22
137,Rampurhat,2019-01-26,22
137,Rampurhat,2019-01-27,22
137,Rampurhat,2019-01-28,22
137,Rampurhat,2019-01-29,22
137,Rampurhat,2019-01-30,22
137,Rampurhat,2019-01-31,22
137,Rampurhat,2019-02-01,22
137,Rampurhat,2019-02-02,22
137,Rampurhat,2019-02-03,22
137,Rampurhat,2019-02-04,22
137,Rampurhat,2019-02-05,22
137,Rampurhat,2019-02-06,22
137,Rampurhat,2019-02-07,22
137,Rampurhat,2019-02-08,22
137,Rampurhat,2019-02-09,22
137,Rampurhat,2019-02-10,22
137,Rampurhat,2019-02-11,22
137,Rampurhat,2019-02-12,22
137,Rampurhat,2019-02-13,22
137,Rampurhat,2019-02-14,22
137,Rampurhat,2019-02-15,22
137,Rampurhat,2019-02-16,22
137,Rampurhat,2019-02-17,22
137,Rampurhat,2019-02-18,22
137,Rampurhat,2019-02-19,22
137,Rampurhat,2019-02-20,22
137,Rampurhat,2019-02-21,22
137,Rampurhat,2019-02-22,22
137,Rampurhat,2019-02-23,22
137,Rampurhat,2019-02-24,22
137,Rampurhat,2019-02-25,22
137,Rampurhat,2019-02-26,22
137,Rampurhat,2019-02-27,22
137,Rampurhat,2019-02-28,22
137,Rampurhat,2019-03-01,22
137,Rampurhat,2019-03-02,22
137,Rampurhat,2019-03-03,22
137,Rampurhat,2019-03-04,22
137,Rampurhat,2019-03-05,22
137,Rampurhat,2019-03-06,22
137,Rampurhat,2019-03-07,22
137,Rampurhat,2019-03-08,22
137,Rampurhat,2019-03-09,22
137,Rampurhat,2019-03-10,22
137,Rampurhat,2019-03-11,22
137,Rampurhat,2019-03-12,22
137,Rampurhat,2019-03-13,22
137,Rampurhat,2019-03-14,22
137,Rampurhat,2019-03-15,22
137,Rampurhat,2019-03-16,22
137,Rampurhat,2019-03-17,22
137,Rampurhat,2019-03-18,22
137,Rampurhat,2019-03-19,22
137,Rampurhat,2019-03-20,22
137,Rampurhat,2019-03-21,22
137,Rampurhat,2019-03-22,22
137,Rampurhat,2019-03-23,22
137,Rampurhat,2019-03-24,22
137,Rampurhat,2019-03-25,22
137,Rampurhat,2019-03-26,22
137,Rampurhat,2019-03-27,22
137,Rampurhat,2019-03-28,22
137,Rampurhat,2019-03-29,22
137,Rampurhat,2019-03-30,22
137,Rampurhat,2019-03-31,22
137,Rampurhat,2019-04-01,22
137,Rampurhat,2019-04-02,22
137,Rampurhat,2019-04-03,22
137,Rampurhat,2019-04-04,22
137,Rampurhat,2019-04-05,22
137,Rampurhat,2019-04-06,22
137,Rampurhat,2019-04-07,22
137,Rampurhat,2019-04-08,22
137,Rampurhat,2019-04-09,22
137,Rampurhat,2019-04-11,22
137,Rampurhat,2019-04-12,22
137,Rampurhat,2019-04-13,22
137,Rampurhat,2019-04-14,22
137,Rampurhat,2019-04-15,22
137,Rampurhat,2019-04-16,22
137,Rampurhat,2019-04-17,22
137,Rampurhat,2019-04-18,22
137,Rampurhat,2019-04-19,22
137,Rampurhat,2019-04-20,22
137,Rampurhat,2019-04-21,22
137,Rampurhat,2019-04-22,22
137,Rampurhat,2019-04-23,22
137,Rampurhat,2019-04-24,22
137,Rampurhat,2019-04-25,22
137,Rampurhat,2019-04-26,22
137,Rampurhat,2019-04-27,22
137,Rampurhat,2019-04-28,22
137,Rampurhat,2019-04-29,22
137,Rampurhat,2019-04-30,22
137,Rampurhat,2019-05-01,22
137,Rampurhat,2019-05-02,22
137,Rampurhat,2019-05-03,22
137,Rampurhat,2019-05-04,22
137,Rampurhat,2019-05-05,22
137,Rampurhat,2019-05-06,22
137,Rampurhat,2019-05-07,22
137,Rampurhat,2019-05-08,22
137,Rampurhat,2019-05-09,22
137,Rampurhat,2019-05-10,22
137,Rampurhat,2019-05-11,22
137,Rampurhat,2019-05-12,22
137,Rampurhat,2019-05-13,22
137,Rampurhat,2019-05-14,22
137,Rampurhat,2019-05-15,22
137,Rampurhat,2019-05-16,22
137,Rampurhat,2019-05-17,22
137,Rampurhat,2019-05-18,22
137,Rampurhat,2019-05-19,22
137,Rampurhat,2019-05-20,22
137,Rampurhat,2019-05-21,22
137,Rampurhat,2019-05-22,22
137,Rampurhat,2019-05-23,22
137,Rampurhat,2019-05-24,22
137,Rampurhat,2019-05-25,22
137,Rampurhat,2019-05-26,22
137,Rampurhat,2019-05-27,22
137,Rampurhat,2019-05-28,22
137,Rampurhat,2019-05-29,22
137,Rampurhat,2019-05-30,22
137,Rampurhat,2019-05-31,22
137,Rampurhat,2019-06-01,22
137,Rampurhat,2019-06-02,22
137,Rampurhat,2019-06-03,22
137,Rampurhat,2019-06-04,22
137,Rampurhat,2019-06-05,22
137,Rampurhat,2019-06-06,22
137,Rampurhat,2019-06-07,22
137,Rampurhat,2019-06-08,22
137,Rampurhat,2019-06-09,22
137,Rampurhat,2019-06-10,22
137,Rampurhat,2019-06-11,22
137,Rampurhat,2019-06-12,22
137,Rampurhat,2019-06-13,22
137,Rampurhat,2019-06-14,22
137,Rampurhat,2019-06-15,22
137,Rampurhat,2019-06-16,22
137,Rampurhat,2019-06-17,22
137,Rampurhat,2019-06-18,22
137,Rampurhat,2019-06-19,22
137,Rampurhat,2019-06-20,22
137,Rampurhat,2019-06-21,22
137,Rampurhat,2019-06-22,22
137,Rampurhat,2019-06-23,22
137,Rampurhat,2019-06-24,22
137,Rampurhat,2019-06-25,22
137,Rampurhat,2019-06-26,22
137,Rampurhat,2019-06-27,22
137,Rampurhat,2019-06-28,22
137,Rampurhat,2019-06-29,22
137,Rampurhat,2019-06-30,22
137,Rampurhat,2019-07-01,22
137,Rampurhat,2019-07-02,22
137,Rampurhat,2019-07-03,22
137,Rampurhat,2019-07-04,22
137,Rampurhat,2019-07-05,22
137,Rampurhat,2019-07-06,22
137,Rampurhat,2019-07-07,22
137,Rampurhat,2019-07-08,22
137,Rampurhat,2019-07-09,22
137,Rampurhat,2019-07-10,22
137,Rampurhat,2019-07-11,22
137,Rampurhat,2019-07-12,22
137,Rampurhat,2019-07-13,22
137,Rampurhat,2019-07-14,22
137,Rampurhat,2019-07-15,22
137,Rampurhat,2019-07-16,22
137,Rampurhat,2019-07-17,22
137,Rampurhat,2019-07-18,22
137,Rampurhat,2019-07-19,22
137,Rampurhat,2019-07-20,22
137,Rampurhat,2019-07-21,22
137,Rampurhat,2019-07-22,22
137,Rampurhat,2019-07-23,22
137,Rampurhat,2019-07-24,22
137,Rampurhat,2019-07-25,22
137,Rampurhat,2019-07-26,22
137,Rampurhat,2019-07-27,22
137,Rampurhat,2019-07-28,22
137,Rampurhat,2019-07-29,22
137,Rampurhat,2019-07-30,22
137,Rampurhat,2019-07-31,22
137,Rampurhat,2019-08-01,22
137,Rampurhat,2019-08-02,22
137,Rampurhat,2019-08-03,22
137,Rampurhat,2019-08-04,22
137,Rampurhat,2019-08-05,22
137,Rampurhat,2019-08-06,22
137,Rampurhat,2019-08-07,22
137,Rampurhat,2019-08-08,22
137,Rampurhat,2019-08-09,22
137,Rampurhat,2019-08-10,22
137,Rampurhat,2019-08-11,22
137,Rampurhat,2019-08-12,22
137,Rampurhat,2019-08-13,22
